beta,T,ED_E_hub,ED_doublon,ED_ntot,E_dtau0.2,dE_dtau0.2,E_dtau0.2_minus_ED,E_dtau0.1,dE_dtau0.1,E_dtau0.1_minus_ED,E_dtau0.05,dE_dtau0.05,E_dtau0.05_minus_ED,E_extrap,dE_extrap,E_extrap_minus_ED,E_slope_dtau2,D_dtau0.2,dD_dtau0.2,D_dtau0.2_minus_ED,D_dtau0.1,dD_dtau0.1,D_dtau0.1_minus_ED,D_dtau0.05,dD_dtau0.05,D_dtau0.05_minus_ED,D_extrap,dD_extrap,D_extrap_minus_ED,D_slope_dtau2
0.6,1.6666666666666667,0.4636251528390913,0.13666339921947238,6.000000000000013,0.31165676,0.0102,-0.1519683928390913,0.42503683,0.00755,-0.038588322839091305,0.44312939,0.00768,-0.02049576283909127,0.45595276185940836,0.006584252050003499,-0.007672390979682919,-3.564264464838351,0.1340436,0.00064,-0.002619799219472363,0.13612151,0.0003,-0.0005418892194723746,0.13618417,0.00041,-0.0004792292194723824,0.13656254918218294,0.00032264153961193665,-0.00010085003728943498,-0.05947577756175075
0.8,1.25,-0.4397210602555669,0.12011891407411146,5.999999999999836,-0.64628649,0.00904,-0.20656542974443315,-0.48251961,0.00946,-0.04279854974443309,-0.44144178,0.00951,-0.001720719744433108,-0.4278404628652756,0.008051997325451964,0.011880597390291292,-5.46144603072734,0.11692221,0.00038,-0.0031967040741114616,0.11965067,0.0004,-0.00046824407411145963,0.12017422,0.00032,5.5305925888538e-05,0.12043788492149128,0.00029253943766409786,0.00031897084737982084,-0.08749592667911639
1.0,1.0,-1.0588934363989233,0.11028721332848228,6.000000000000278,-1.2929813,0.00821,-0.23408786360107658,-1.1169233,0.0108,-0.05802986360107676,-1.0727189,0.0108,-0.013825463601076615,-1.0581119853035832,0.00910266175000407,0.0007814510953401133,-5.871996805099983,0.10635436,0.0004,-0.003932853328482283,0.10883057,0.00036,-0.0014566433284822766,0.11030729,0.00034,2.0076671517724187e-05,0.11025546052219856,0.0002964452152659961,-3.175280628371635e-05,-0.10014155602966775
1.2,0.8333333333333334,-1.5048144297318282,0.10463771762408412,5.999999999999833,-1.7588336,0.0108,-0.2540191702681718,-1.5794746,0.0117,-0.07466017026817173,-1.5298149,0.0133,-0.02500047026817187,-1.516808070453997,0.010685459735562544,-0.011993640722168797,-6.05946517369458,0.099638934,0.00042,-0.004998783624084124,0.10402222,0.00028,-0.0006154976240841242,0.1040723,0.0003,-0.0005654176240841163,0.10480323052827796,0.0002538511338673776,0.00016551290419383746,-0.12394946665175341
1.4,0.7142857142857143,-1.8445737454884708,0.10153953368905448,6.0000000000001545,-2.1319104,0.0123,-0.28733665451152945,-1.9245897,0.0148,-0.08001595451152932,-1.8642237,0.0135,-0.019649954511529177,-1.8494452934306345,0.011793231338749972,-0.004871547942163712,-7.076743444738477,0.096286934,0.0004,-0.005252599689054477,0.10051938,0.00039,-0.001020153689054476,0.10120201,0.00033,-0.0003375236890544864,0.10164919905224166,0.0002974722043360338,0.00010966536318718356,-0.13300354842562404
1.6,0.625,-2.1161570431318895,0.10000199661910393,5.999999999999958,-2.4360333,0.015,-0.3198762568681106,-2.1857996,0.0146,-0.06964255686811072,-2.1249128,0.0134,-0.008755756868110698,-2.1035754435919953,0.011762199775407923,0.012581599539894128,-8.30698316811756,0.093116698,0.00047,-0.006885298619103933,0.098195889,0.00043,-0.001806107619103936,0.099877945,0.00036,-0.0001240516191039348,0.10020037840150837,0.00032642941687434065,0.00019838178240444426,-0.17840859016529406
1.8,0.5555555555555556,-2.3410014696999397,0.09942846807606644,5.999999999999863,-2.6868005,0.0153,-0.3457990303000602,-2.4149076,0.0149,-0.0739061303000601,-2.3383121,0.0191,0.0026893696999397143,-2.3196525937038324,0.014553231239301077,0.021348875996107353,-9.196065665757363,0.093309589,0.00054,-0.0061188790760664385,0.097604943,0.00039,-0.0018235250760664373,0.098717996,0.00044,-0.0007104720760664346,0.09906096402380055,0.00036208683486428335,-0.00036750405226589067,-0.14394337761400686
2.0,0.5,-2.5316056606879727,0.09945501903826483,5.999999999999942,-2.8942488,0.0149,-0.3626431393120275,-2.6296621,0.0154,-0.09805643931202734,-2.5379322,0.015,-0.006326539312027535,-2.524097244120935,0.01285944207137961,0.007508416567037823,-9.312036522425185,0.091829758,0.00045,-0.00762526103826483,0.098147721,0.00049,-0.0013072980382648342,0.099572161,0.00048,0.00011714196173517877,0.1001491125557858,0.00040989164692846323,0.0006940935175209773,-0.2076664388903475
2.4,0.4166666666666667,-2.8379495825913925,0.10048225455286364,5.999999999999976,-3.1647267,0.0213,-0.3267771174086076,-2.8977079,0.0164,-0.059758317408607375,-2.8729276,0.0198,-0.03497801740860762,-2.83297187384203,0.015732310334394026,0.004977708749362542,-8.15228776686768,0.092593682,0.00056,-0.00788857255286364,0.098130444,0.00052,-0.0023518105528636396,0.10051041,0.00049,2.8155447136357648e-05,0.10067199403987102,0.00042698097482018945,0.00018973948700738708,-0.2048187215186167
2.8,0.35714285714285715,-3.0697826532265227,0.10206709687122172,5.999999999999962,-3.4519411,0.024,-0.3821584467734773,-3.1775958,0.0176,-0.10781314677347753,-3.1365392,0.0161,-0.06675654677347742,-3.106083078682681,0.01435512013225342,-0.036300425456158525,-8.519261443983925,0.094202645,0.00069,-0.007864451871221714,0.099957094,0.00045,-0.0021100028712217195,0.10201252,0.00051,-5.457687122172039e-05,0.10225898293168184,0.00042219373582037876,0.00019188606046012524,-0.2044358603698899
3.2,0.3125,-3.244115540415659,0.1037479289356885,5.999999999999964,-3.6497619,0.0181,-0.4056463595843409,-3.348405,0.0201,-0.10428945958434088,-3.2913675,0.0196,-0.047251959584340586,-3.2603314077896544,0.01675538878991428,-0.016215867373995163,-9.69958711404681,0.095227091,0.0006,-0.008520837935688502,0.10211422,0.00052,-0.0016337089356884965,0.10314355,0.0005,-0.0006043789356885015,0.10393102504100718,0.0004339110703202245,0.00018309610531867804,-0.21535659913669045
3.6,0.2777777777777778,-3.372238688003474,0.10530066878000338,6.000000000000016,-3.7765739,0.0185,-0.4043352119965258,-3.4795815,0.0155,-0.10734281199652607,-3.4001338,0.0171,-0.027895111996525834,-3.377347916471723,0.014077556888826991,-0.005109228468248794,-9.996787734730063,0.096097478,0.00063,-0.009203190780003381,0.10338053,0.00041,-0.0019201387800033831,0.10489564,0.00047,-0.00040502878000338305,0.10561987741903331,0.000387210402555905,0.0003192086390299276,-0.23656850946584962
4.0,0.25,-3.4639148132871793,0.10662719939193703,5.999999999999937,-3.8597426,0.0189,-0.3958277867128208,-3.5731374,0.0225,-0.10922258671282048,-3.5008195,0.019,-0.036904686712820656,-3.4771064921410906,0.01702750970168942,-0.01319167885391126,-9.567169982419223,0.097227718,0.00058,-0.009399481391937026,0.1048331,0.00056,-0.0017940993919370318,0.10612492,0.00048,-0.0005022793919370327,0.10691549685776267,0.00043110506330479694,0.00028829746582563487,-0.24046600617279823
4.8,0.20833333333333334,-3.572199346994093,0.10854814063918188,6.0000000000001625,-4.0068071,0.02,-0.4346077530059067,-3.6391113,0.0227,-0.06691195300590724,-3.6116808,0.0159,-0.039481453005906886,-3.5696766471297834,0.015018315541102584,0.00252269986430953,-10.779377687286853,0.10047565,0.00047,-0.008072490639181876,0.10510743,0.00059,-0.0034407106391818737,0.10829757,0.00049,-0.0002505706391818796,0.1081760521585586,0.00044079004283429756,-0.00037208848062326993,-0.196026794077558
5.6,0.17857142857142858,-3.6228840060960077,0.10968231046967752,5.999999999999988,-4.0443009,0.017,-0.42141689390399195,-3.6879332,0.0217,-0.06504919390399211,-3.6269848,0.02,-0.004100793903992095,-3.58887419934105,0.017382847278600195,0.03400980675495768,-11.34161048498891,0.09980884,0.00057,-0.009873470469677528,0.10579129,0.00052,-0.003891020469677528,0.10934075,0.00054,-0.00034156046967752374,0.10912149688640203,0.0004539090117187974,-0.0005608135832754907,-0.23849528733812786
6.4,0.15625,-3.646471979642301,0.11031597658258065,5.999999999999987,-4.0158846,0.0219,-0.3694126203576986,-3.7421965,0.019,-0.09572452035769885,-3.6823452,0.0196,-0.0358732203576988,-3.6565889699046363,0.016558913468869726,-0.010116990262335257,-8.956126866570745,0.10030811,0.00054,-0.01000786658258064,0.10728899,0.00054,-0.003026986582580646,0.10941065,0.00053,-0.0009053265825806484,0.10987046782974495,0.00045362652645665924,-0.0004455087528356938,-0.2399679379927129
7.2,0.1388888888888889,-3.6576515176837088,0.11066166724908923,6.000000000000035,-4.0672283,0.0201,-0.40957678231629124,-3.7777821,0.0165,-0.12013058231629126,-3.7007823,0.0193,-0.043130782316291416,-3.678553491734559,0.015500501017074272,-0.020901974050850036,-9.731098643644895,0.10210158,0.00066,-0.00856008724908923,0.10831144,0.00051,-0.0023502272490892318,0.11037622,0.00042,-0.0002854472490892296,0.11077593965698478,0.00038599937651788923,0.00011427240789554927,-0.21914539492853782
8.0,0.125,-3.6630897004679226,0.11084841330087569,6.000000000000019,-4.0864345,0.0225,-0.4233447995320776,-3.7589686,0.0231,-0.09587889953207762,-3.6941855,0.0197,-0.031095799532077528,-3.6625088341422543,0.017680967099725182,0.0005808663256683388,-10.555019964818408,0.10097444,0.00068,-0.009873973300875694,0.10688197,0.00063,-0.0039664433008756855,0.11044839,0.00048,-0.0004000233008756987,0.11051438562966227,0.0004469477175165554,-0.0003340276712134188,-0.24536511462812063
9.0,0.1111111111111111,-3.6662391946015065,0.11096572188457719,5.999999999999967,-4.080141,0.0189,-0.41390180539849375,-3.7660936,0.0178,-0.09985440539849355,-3.6713243,0.0197,-0.005085105398493717,-3.651395473294197,0.016102748872454182,0.014843721307309377,-10.758722817084427,0.10208192,0.0005,-0.008883801884577186,0.10887864,0.00052,-0.002087081884577194,0.11021546,0.00053,-0.0007502618845771913,0.11090659608775766,0.00044643385403369103,-5.9125796819534115e-05,-0.21982946434407416
10.0,0.1,-3.6676020739979993,0.1110197322026697,6.0000000000000036,-4.0916459,0.0191,-0.4240438260020003,-3.7578173,0.022,-0.09021522600200083,-3.6966313,0.0193,-0.02902922600200064,-3.66273024300364,0.017102787777135822,0.004871830994359172,-10.678794314616512,0.10116258,0.00043,-0.009857152202669694,0.1082765,0.00053,-0.0027432322026696987,0.1108812,0.0005,-0.00013853220266969724,0.11121820028017201,0.000431368548926006,0.00019846807750231732,-0.252753607081035
11.0,0.09090909090909091,-3.6682058818882397,0.11104460928074866,6.000000000000016,-4.0709338,0.0206,-0.40272791811176,-3.7952346,0.0176,-0.12702871811176042,-3.7161248,0.0206,-0.04791891811176008,-3.6973251792995385,0.01650287099880312,-0.029119297411298817,-9.369110235564328,0.10207104,0.00062,-0.008973569280748661,0.10869299,0.00054,-0.0023516192807486597,0.11051607,0.00047,-0.0005285392807486688,0.11102423572443085,0.00042195113279567495,-2.0373556317815344e-05,-0.22440464292341916
12.0,0.08333333333333333,-3.6684776767145078,0.11105607830880238,6.000000000000019,-4.0680565,0.0174,-0.3995788232854922,-3.7603466,0.0205,-0.09186892328549234,-3.6565603,0.0198,0.011917376714507544,-3.639520769917953,0.016956745897850487,0.028956906796554716,-10.760998593789223,0.10136245,0.00057,-0.009693628308802368,0.10755801,0.00055,-0.0034980683088023795,0.1098398,0.00045,-0.0012162783088023738,0.11018303564792013,0.00040997460704832644,-0.0008730426608822422,-0.22265457694220148
