# beta T ED_E_hub ED_doublon ED_ntot E_dtau0.2 dE_dtau0.2 E_dtau0.2_minus_ED E_dtau0.1 dE_dtau0.1 E_dtau0.1_minus_ED E_dtau0.05 dE_dtau0.05 E_dtau0.05_minus_ED E_extrap dE_extrap E_extrap_minus_ED E_slope_dtau2 D_dtau0.2 dD_dtau0.2 D_dtau0.2_minus_ED D_dtau0.1 dD_dtau0.1 D_dtau0.1_minus_ED D_dtau0.05 dD_dtau0.05 D_dtau0.05_minus_ED D_extrap dD_extrap D_extrap_minus_ED D_slope_dtau2
0.6 1.66666666667 0.463625152839 0.136663399219 6 0.31165676 0.0102 -0.151968392839 0.42503683 0.00755 -0.0385883228391 0.44312939 0.00768 -0.0204957628391 0.455952761859 0.00658425205 -0.00767239097968 -3.56426446484 0.1340436 0.00064 -0.00261979921947 0.13612151 0.0003 -0.000541889219472 0.13618417 0.00041 -0.000479229219472 0.136562549182 0.000322641539612 -0.000100850037289 -0.0594757775618
0.8 1.25 -0.439721060256 0.120118914074 6 -0.64628649 0.00904 -0.206565429744 -0.48251961 0.00946 -0.0427985497444 -0.44144178 0.00951 -0.00172071974443 -0.427840462865 0.00805199732545 0.0118805973903 -5.46144603073 0.11692221 0.00038 -0.00319670407411 0.11965067 0.0004 -0.000468244074111 0.12017422 0.00032 5.53059258885e-05 0.120437884921 0.000292539437664 0.00031897084738 -0.0874959266791
1 1 -1.0588934364 0.110287213328 6 -1.2929813 0.00821 -0.234087863601 -1.1169233 0.0108 -0.0580298636011 -1.0727189 0.0108 -0.0138254636011 -1.0581119853 0.00910266175 0.00078145109534 -5.8719968051 0.10635436 0.0004 -0.00393285332848 0.10883057 0.00036 -0.00145664332848 0.11030729 0.00034 2.00766715177e-05 0.110255460522 0.000296445215266 -3.17528062837e-05 -0.10014155603
1.2 0.833333333333 -1.50481442973 0.104637717624 6 -1.7588336 0.0108 -0.254019170268 -1.5794746 0.0117 -0.0746601702682 -1.5298149 0.0133 -0.0250004702682 -1.51680807045 0.0106854597356 -0.0119936407222 -6.05946517369 0.099638934 0.00042 -0.00499878362408 0.10402222 0.00028 -0.000615497624084 0.1040723 0.0003 -0.000565417624084 0.104803230528 0.000253851133867 0.000165512904194 -0.123949466652
1.4 0.714285714286 -1.84457374549 0.101539533689 6 -2.1319104 0.0123 -0.287336654512 -1.9245897 0.0148 -0.0800159545115 -1.8642237 0.0135 -0.0196499545115 -1.84944529343 0.0117932313387 -0.00487154794216 -7.07674344474 0.096286934 0.0004 -0.00525259968905 0.10051938 0.00039 -0.00102015368905 0.10120201 0.00033 -0.000337523689054 0.101649199052 0.000297472204336 0.000109665363187 -0.133003548426
1.6 0.625 -2.11615704313 0.100001996619 6 -2.4360333 0.015 -0.319876256868 -2.1857996 0.0146 -0.0696425568681 -2.1249128 0.0134 -0.00875575686811 -2.10357544359 0.0117621997754 0.0125815995399 -8.30698316812 0.093116698 0.00047 -0.0068852986191 0.098195889 0.00043 -0.0018061076191 0.099877945 0.00036 -0.000124051619104 0.100200378402 0.000326429416874 0.000198381782404 -0.178408590165
1.8 0.555555555556 -2.3410014697 0.0994284680761 6 -2.6868005 0.0153 -0.3457990303 -2.4149076 0.0149 -0.0739061303001 -2.3383121 0.0191 0.00268936969994 -2.3196525937 0.0145532312393 0.0213488759961 -9.19606566576 0.093309589 0.00054 -0.00611887907607 0.097604943 0.00039 -0.00182352507607 0.098717996 0.00044 -0.000710472076066 0.0990609640238 0.000362086834864 -0.000367504052266 -0.143943377614
2 0.5 -2.53160566069 0.0994550190383 6 -2.8942488 0.0149 -0.362643139312 -2.6296621 0.0154 -0.098056439312 -2.5379322 0.015 -0.00632653931203 -2.52409724412 0.0128594420714 0.00750841656704 -9.31203652243 0.091829758 0.00045 -0.00762526103826 0.098147721 0.00049 -0.00130729803826 0.099572161 0.00048 0.000117141961735 0.100149112556 0.000409891646928 0.000694093517521 -0.20766643889
2.4 0.416666666667 -2.83794958259 0.100482254553 6 -3.1647267 0.0213 -0.326777117409 -2.8977079 0.0164 -0.0597583174086 -2.8729276 0.0198 -0.0349780174086 -2.83297187384 0.0157323103344 0.00497770874936 -8.15228776687 0.092593682 0.00056 -0.00788857255286 0.098130444 0.00052 -0.00235181055286 0.10051041 0.00049 2.81554471364e-05 0.10067199404 0.00042698097482 0.000189739487007 -0.204818721519
2.8 0.357142857143 -3.06978265323 0.102067096871 6 -3.4519411 0.024 -0.382158446773 -3.1775958 0.0176 -0.107813146773 -3.1365392 0.0161 -0.0667565467735 -3.10608307868 0.0143551201323 -0.0363004254562 -8.51926144398 0.094202645 0.00069 -0.00786445187122 0.099957094 0.00045 -0.00211000287122 0.10201252 0.00051 -5.45768712217e-05 0.102258982932 0.00042219373582 0.00019188606046 -0.20443586037
