# lattice=chain n=6 U=4 mu=2 dtau=0.2 bipartite=1
# T  E_hub dE_hub  E_gc dE_gc  E_ph dE_ph  ntot dN  doublon dD  sign
1.66667 0.31165676 0.0102 -11.688343 0.0102 -5.6883432 0.0102 6 0 0.1340436 0.00064 1
1.25 -0.64628649 0.00904 -12.646286 0.00904 -6.6462865 0.00904 6 0 0.11692221 0.00038 1
1 -1.2929813 0.00821 -13.292981 0.00821 -7.2929813 0.00821 6 0 0.10635436 0.0004 1
0.833333 -1.7588336 0.0108 -13.758834 0.0108 -7.7588336 0.0108 6 0 0.099638934 0.00042 1
0.714286 -2.1319104 0.0123 -14.13191 0.0123 -8.1319104 0.0123 6 0 0.096286934 0.0004 1
0.625 -2.4360333 0.015 -14.436033 0.015 -8.4360333 0.015 6 0 0.093116698 0.00047 1
0.555556 -2.6868005 0.0153 -14.686801 0.0153 -8.6868005 0.0153 6 0 0.093309589 0.00054 1
0.5 -2.8942488 0.0149 -14.894249 0.0149 -8.8942488 0.0149 6 0 0.091829758 0.00045 1
0.416667 -3.1647267 0.0213 -15.164727 0.0213 -9.1647267 0.0213 6 0 0.092593682 0.00056 1
0.357143 -3.4519411 0.024 -15.451941 0.024 -9.4519411 0.024 6 0 0.094202645 0.00069 1
0.3125 -3.6497619 0.0181 -15.649762 0.0181 -9.6497619 0.0181 6 0 0.095227091 0.0006 1
0.277778 -3.7765739 0.0185 -15.776574 0.0185 -9.7765739 0.0185 6 0 0.096097478 0.00063 1
0.25 -3.8597426 0.0189 -15.859743 0.0189 -9.8597426 0.0189 6 0 0.097227718 0.00058 1
0.208333 -4.0068071 0.02 -16.006807 0.02 -10.006807 0.02 6 0 0.10047565 0.00047 1
0.178571 -4.0443009 0.017 -16.044301 0.017 -10.044301 0.017 6 0 0.09980884 0.00057 1
0.15625 -4.0158846 0.0219 -16.015885 0.0219 -10.015885 0.0219 6 0 0.10030811 0.00054 1
0.138889 -4.0672283 0.0201 -16.067228 0.0201 -10.067228 0.0201 6 1.2e-15 0.10210158 0.00066 1
0.125 -4.0864345 0.0225 -16.086434 0.0225 -10.086434 0.0225 6 0 0.10097444 0.00068 1
0.111111 -4.080141 0.0189 -16.080141 0.0189 -10.080141 0.0189 6 0 0.10208192 0.0005 1
0.1 -4.0916459 0.0191 -16.091646 0.0191 -10.091646 0.0191 6 1.2e-15 0.10116258 0.00043 1
0.0909091 -4.0709338 0.0206 -16.070934 0.0206 -10.070934 0.0206 6 0 0.10207104 0.00062 1
0.0833333 -4.0680565 0.0174 -16.068056 0.0174 -10.068056 0.0174 6 1.2e-15 0.10136245 0.00057 1
