mx	my	DeltaSU2	dDeltaSU2	abs_z
0	0	0.00360705980001	0.00146967754142	2.4543206
1	0	-0.0003889381	0.0006670055	0.583111
2	0	0.0010030639	0.0013626311	0.736123
3	0	-0.0003889381	0.0006670055	0.583111
0	1	0.0006541011	0.0006663748	0.981581
1	1	-0.0014261017	0.0011007760	1.295542
2	1	-0.0001617068	0.0007729142	0.209217
3	1	0.0025157534	0.0013591783	1.850937
0	2	-0.0012637401	0.0013105586	0.964276
1	2	0.0002186136	0.0007328006	0.298326
2	2	-0.0061698268	0.0039384451	1.566564
3	2	0.0002186136	0.0007328006	0.298326
0	3	0.0006541011	0.0006663748	0.981581
1	3	0.0025157534	0.0013591783	1.850937
2	3	-0.0001617068	0.0007729142	0.209217
3	3	-0.0014261017	0.0011007760	1.295542
